Designator,Mid X,Mid Y,Rotation,Layer
C1,29.591,-31.369,90,bottom
C2,31.115,-31.369,90,bottom
C3,22.098,-35.687,-90,bottom
C4,22.098,-43.942,90,bottom
C5,34.036,-47.625,0,bottom
C6,39.243,-36.576,0,bottom
C7,25.4,-31.496,180,bottom
D_1,12.081,-14.216,90,bottom
D_10,183.531,-14.216,90,bottom
D_11,202.581,-14.216,90,bottom
D_12,224.028,-14.224,90,bottom
D_13,14.478,-18.415,-90,bottom
D_14,35.8935,-18.407,-90,bottom
D_15,54.9435,-18.407,-90,bottom
D_16,73.9935,-18.407,-90,bottom
D_17,93.0435,-18.407,-90,bottom
D_18,112.0935,-18.407,-90,bottom
D_19,131.1435,-18.407,-90,bottom
D_2,31.131,-14.216,90,bottom
D_20,150.1935,-18.407,-90,bottom
D_21,169.2435,-18.407,-90,bottom
D_22,188.2935,-18.407,-90,bottom
D_23,207.3435,-18.407,-90,bottom
D_24,226.3935,-18.407,-90,bottom
D_25,19.177,-52.316,90,bottom
D_26,45.4185,-52.316,90,bottom
D_27,64.4685,-52.316,90,bottom
D_28,83.5185,-52.316,90,bottom
D_29,102.5685,-52.316,90,bottom
D_3,50.181,-14.216,90,bottom
D_30,121.6185,-52.316,90,bottom
D_31,140.6685,-52.316,90,bottom
D_32,159.7185,-52.316,90,bottom
D_33,178.7685,-52.316,90,bottom
D_34,197.8185,-52.316,90,bottom
D_35,221.615,-52.324,90,bottom
D_36,14.478,-56.515,-90,bottom
D_37,35.941,-56.515,-90,bottom
D_38,57.404,-56.515,-90,bottom
D_39,95.504,-56.515,-90,bottom
D_4,69.231,-14.216,90,bottom
D_40,119.253,-56.515,-90,bottom
D_41,150.241,-56.515,-90,bottom
D_42,188.341,-56.515,-90,bottom
D_43,207.391,-56.515,-90,bottom
D_44,226.441,-56.507,-90,bottom
D_5,88.281,-14.216,90,bottom
D_6,107.331,-14.216,90,bottom
D_7,126.381,-14.216,90,bottom
D_8,145.431,-14.216,90,bottom
D_9,164.481,-14.216,90,bottom
F1,15.494,-13.211,90,bottom
K_1,9.525,-9.525,0,top
K_10,180.975,-9.525,0,top
K_11,200.025,-9.525,0,top
K_12,221.45625,-9.525,0,top
K_13,11.90625,-28.575,0,top
K_14,33.3375,-28.575,0,top
K_15,52.3875,-28.575,0,top
K_16,71.4375,-28.575,0,top
K_17,90.4875,-28.575,0,top
K_18,109.5375,-28.575,0,top
K_19,128.5875,-28.575,0,top
K_2,28.575,-9.525,0,top
K_20,147.6375,-28.575,0,top
K_21,166.6875,-28.575,0,top
K_22,185.7375,-28.575,0,top
K_23,204.7875,-28.575,0,top
K_24,223.8375,-28.575,0,top
K_25,16.66875,-47.625,0,top
K_26,42.8625,-47.625,0,top
K_27,61.9125,-47.625,0,top
K_28,80.9625,-47.625,0,top
K_29,100.0125,-47.625,0,top
K_3,47.625,-9.525,0,top
K_30,119.0625,-47.625,0,top
K_31,138.1125,-47.625,0,top
K_32,157.1625,-47.625,0,top
K_33,176.2125,-47.625,0,top
K_34,195.2625,-47.625,0,top
K_35,219.075,-47.625,0,top
K_36,9.525,-66.675,0,top
K_37,11.90625,-66.675,0,top
K_38,28.575,-66.675,0,top
K_39,30.95625,-66.675,0,top
K_4,66.675,-9.525,0,top
K_40,33.3375,-66.675,0,top
K_41,47.625,-66.675,0,top
K_42,52.3875,-66.675,0,top
K_43,54.76875,-66.675,0,top
K_44,90.4875,-66.675,0,top
K_45,92.86875,-66.675,0,top
K_46,116.68125,-66.675,0,top
K_47,145.25625,-66.675,0,top
K_48,147.6375,-66.675,0,top
K_49,180.975,-66.675,0,top
K_5,85.725,-9.525,0,top
K_50,185.7375,-66.675,0,top
K_51,202.40625,-66.675,0,top
K_52,204.7875,-66.675,0,top
K_53,223.8375,-66.675,0,top
K_6,104.775,-9.525,0,top
K_7,123.825,-9.525,0,top
K_8,142.875,-9.525,0,top
K_9,161.925,-9.525,0,top
R1,46.609,-35.687,90,bottom
R2,14.224,-6.858,-90,bottom
R3,25.908,-4.572,180,bottom
R4,17.78,-12.7,90,bottom
R5,20.066,-12.7,90,bottom
R6,25.019,-47.625,0,bottom
R7,25.908,-2.413,180,bottom
SW1,52.3842,-38.0976,-90,bottom
U1,18.923,-9.017,180,bottom
,,,,
U3,29.845,-39.878,-90,bottom
USB1,18.923,2.667,0,bottom
Y1,39.497,-39.37,180,bottom
