Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603_1608Metric,1,1uF,
"C2, C3, C4, C5, C6",C_0603_1608Metric,5,0.1uF,
C7,C_0603_1608Metric,1,10uF,
"D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_5, D_6, D_7, D_8, D_9",D_SOD-123,44,D,
F1,Fuse_1206_3216Metric,1,500mA,
"K_1, K_10, K_11, K_14, K_15, K_16, K_17, K_18, K_19, K_2, K_20, K_21, K_22, K_23, K_24, K_26, K_27, K_28, K_29, K_3, K_30, K_31, K_32, K_33, K_34, K_36, K_38, K_4, K_40, K_41, K_42, K_49, K_5, K_50, K_52, K_53, K_6, K_7, K_8, K_9",MXOnly-1U-NoLED,40,KEYSW,
"K_12, K_13, K_37, K_39, K_43, K_51",MXOnly-1.25U-NoLED,6,KEYSW,
K_25,MXOnly-1.75U-NoLED,1,KEYSW,
K_35,MXOnly-1.5U-NoLED,1,KEYSW,
"K_44, K_48",MXOnly-3U-ReversedStabilizers-NoLED,2,KEYSW,
"K_45, K_47",MXOnly-2.75U-ReversedStabilizers-NoLED,2,KEYSW,
K_46,MXOnly-6.25U-ReversedStabilizers-NoLED,1,KEYSW,
"R1, R6",R_0603_1608Metric,2,10k,
"R2, R3",R_0603_1608Metric,2,5.1k,
"R4, R5",R_0603_1608Metric,2,22,
R7,R_0603_1608Metric,1,1M,
SW1,SKQG-1155865,1,SW_Push,
U1,SOT-23-6,1,SRV05-4,
U2,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-AU,
U3,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,1,ATmega32U4-M,
USB1,HRO-TYPE-C-31-M-12-Assembly,1,HRO-TYPE-C-31-M-12,
Y1,Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm,1,Resonator_Small,
